id,username,email,password,city,nbr_order
1,user1,user1@example.com,pass1,Toulouse,0
2,user2,user2@example.com,pass2,Lyon,0
3,user3,user3@example.com,pass3,Nice,0
4,user4,user4@example.com,pass4,Nice,0
5,user5,user5@example.com,pass5,Lyon,0
6,user6,user6@example.com,pass6,Nice,0
7,user7,user7@example.com,pass7,Toulouse,0
8,user8,user8@example.com,pass8,Lyon,0
9,user9,user9@example.com,pass9,Lyon,0
10,user10,user10@example.com,pass10,Lyon,0
11,user11,user11@example.com,pass11,Toulouse,0
12,user12,user12@example.com,pass12,Paris,0
13,user13,user13@example.com,pass13,Nice,0
14,user14,user14@example.com,pass14,Nice,0
15,user15,user15@example.com,pass15,Nice,0
16,user16,user16@example.com,pass16,Lyon,0
17,user17,user17@example.com,pass17,Paris,0
18,user18,user18@example.com,pass18,Marseille,0
19,user19,user19@example.com,pass19,Toulouse,0
20,user20,user20@example.com,pass20,Toulouse,0
21,user21,user21@example.com,pass21,Paris,0
22,user22,user22@example.com,pass22,Marseille,0
23,user23,user23@example.com,pass23,Toulouse,0
24,user24,user24@example.com,pass24,Nice,0
25,user25,user25@example.com,pass25,Nice,0
26,user26,user26@example.com,pass26,Lyon,0
27,user27,user27@example.com,pass27,Nice,0
28,user28,user28@example.com,pass28,Nice,0
29,user29,user29@example.com,pass29,Lyon,0
30,user30,user30@example.com,pass30,Marseille,0
31,user31,user31@example.com,pass31,Paris,0
32,user32,user32@example.com,pass32,Marseille,0
33,user33,user33@example.com,pass33,Marseille,0
34,user34,user34@example.com,pass34,Lyon,0
35,user35,user35@example.com,pass35,Paris,0
36,user36,user36@example.com,pass36,Paris,0
37,user37,user37@example.com,pass37,Lyon,0
38,user38,user38@example.com,pass38,Paris,0
39,user39,user39@example.com,pass39,Toulouse,0
40,user40,user40@example.com,pass40,Toulouse,0
41,user41,user41@example.com,pass41,Paris,0
42,user42,user42@example.com,pass42,Marseille,0
43,user43,user43@example.com,pass43,Marseille,0
44,user44,user44@example.com,pass44,Nice,0
45,user45,user45@example.com,pass45,Marseille,0
46,user46,user46@example.com,pass46,Lyon,0
47,user47,user47@example.com,pass47,Marseille,0
48,user48,user48@example.com,pass48,Marseille,0
49,user49,user49@example.com,pass49,Paris,0
50,user50,user50@example.com,pass50,Nice,0
